test_index,claim,evidence,true_label,predicted_label,error_category
3,"vidyabharati mahavidyalaya , c.k. nayadu road , camp, amravati. is located in amravati district, maharashtra.","college: vidyabharati mahavidyalaya , c.k. nayadu road , camp, amravati. (affiliated college). university: sant gadge baba amravati university, amravati (state public university ). location: amravati, maharashtra (urban). address: c.k. nayadu road,, camp,, amravati. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
9,"govt first grade college, muddebihal is located in vijayapura district, karnataka.","college: govt first grade college, muddebihal (affiliated college). university: rani channamma university, belagavi (state public university ). location: vijayapura, karnataka (urban). address: almatti road ,muddebihal., , muddebihal. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
11,"sahakar education and social development societys basavajyoti science and commerce college, belgaum is located in belagavi district, karnataka.","college: sahakar education and social development societys basavajyoti science and commerce college, belgaum (affiliated college). university: rani channamma university, belagavi (state public university ). location: belagavi, karnataka (rural). address: examba-chikodi road nanadi, 591244, chikodi. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
17,"vaikunta baliga college of law, udupi. is located in udupi district, karnataka.","college: vaikunta baliga college of law, udupi. (affiliated college). university: karnataka state law university, hubli (state public university ). location: udupi, karnataka (urban). address: kunjibettu, udupi, udupi. management: private aided. specialization: law.",SUPPORTS,REFUTES,semantic similarity problem
21,"shri guru virupaksha shivacharya maharaj college, manur, shirur kasar. is located in beed district, maharashtra.","college: shri guru virupaksha shivacharya maharaj college, manur, shirur kasar. (affiliated college). university: dr. babasaheb ambedkar marathwada university, aurangabad (state public university ). location: beed, maharashtra (rural). address: at post manur tq shirur ka dist beed, at post manur tq shirur ka dist beed, shirur kasar. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
23,"dr ambedkar institute of management studies research, deekshabhoomi is located in nagpur district, maharashtra.","college: dr ambedkar institute of management studies research, deekshabhoomi (affiliated college). university: rashtrasant tukadoji maharaj nagpur university, nagpur (state public university ). location: nagpur, maharashtra (urban). address: deekshabhoomi, laxmi nagar, nagpur. management: private un-aided. specialization: commerce & management.",SUPPORTS,REFUTES,semantic similarity problem
49,"sardar patel kelvani mandal mahila b.ed.college jetpur is located in rajkot district, gujarat.","college: sardar patel kelvani mandal mahila b.ed.college jetpur (affiliated college). university: saurashtra university, rajkot (state public university ). location: rajkot, gujarat (rural). address: near railway crossing, dhoraji road, jetpur. management: private un-aided. specialization: education.",SUPPORTS,REFUTES,semantic similarity problem
53,"ram nagina singh college is located in rohtas district, bihar.","college: ram nagina singh college (affiliated college). university: veer kunwar singh university, arrah (state public university ). location: rohtas, bihar (nan). address: rohtas, bihar. management: government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
73,"psm education academy is located in seoni district, karnataka.","college: psm education academy (recognized center). university: makhanlal chaturvedi national university of journalism and communication, bhopal (state public university ). location: seoni, madhya pradesh (nan). address: seoni, madhya pradesh. management: government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
75,"patel college of science & technology, ralamandal, indore is located in indore district, madhya pradesh.","college: patel college of science & technology, ralamandal, indore (affiliated college). university: devi ahilya vishwavidyalaya, indore (state public university ). location: indore, madhya pradesh (rural). address: ralamandal, baypass road, indore, indore. management: private aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
77,"kanwar durga chand govt degree college, jaisinghpur, distt kangra is located in kangra district, himachal pradesh.","college: kanwar durga chand govt degree college, jaisinghpur, distt kangra (affiliated college). university: himachal pradesh university , shimla (state public university ). location: kangra, himachal pradesh (rural). address: tahsil-jaisinghpur, district kangra (himachal pradesh)-176095, tehsil jaisinghpur district-kangra(himachal pradesh)-176095, jaisinghpur. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
